turn1,turn2,turn3,label
wats your original name ? ! ,my friend rachel thomas,ur name,0
feature or quality ? i see,make sure you are using a browser that supports html5 ,why is that ,0
youre not ? v ,well i am telling i ,"of  so you are wet , nice",0
who,there are people who only takes bad photos . i am one of them <laugh>,no problem,0
like my different feelings,up to you,this is secret so do not tell anyone,0
yes . yes . yes . yes . yes . yes . yes . yes,no yes no yes,face with tears of joy,1
send a picture of you,okay ! i sent you a picture of mine ,you didnt,0
simply leave it,you cannot go that way ,in what way,0
no you are not my pal,i very much am thank you,sorry,0
kabale is not a song it is a catagry of songs,but it is not a good song,yes these are good songs,0
i am <number>,why ,you ,0
my india 🌃, good night  <happy>,your cantrre,0
blah ,tell me who for real,who for real,0
to ,why me,because i love you,0
i am sorry for the next couple days,no problem,ok,0
purple,gold ,when did gold come into play,0
tell me in which class i am in,dont study in night timings get up early,morning i need to go to football practice,0
haha,hahaha you know it <wink>,but scenes are hotter,0
you are welcome again,my pleasure ,now leave,0
that ' s what you are doing now,"biology , chemistry , physics and geography , not very fun haha , how about you ? grinning cat face",you a girl or boy ,0
good,thats good then,you have to say,0
hy am in love,"i am in love , love , love , love , love , love smiling cat face with heart-eyes",but with whom,0
i will not,haha i know you to well ! ,go to hell,3
m missing my friend disappointed face,missing my friend who ,someone,2
its just a joke,well you seem like a reasonable human with a healthy sense of humor ,so bye,0
sachhi,thanks < <number>,i love you so much,0
yeah,where are you mr ? ,m at home,0
what do you teach ,c + + language course is already started . ,what do you teach ,0
have you other picture,i know . ,have you got your any other photo,0
i can not find,i actually can not find anything at all ,no one msgs me,0
boring,boring why . ? . ,your responses do not make sense,0
i am also good,you are welcome,grinning face,1
grt what about you ,im in 1 1 th ! <happy> wbu ? <happy>,1 st year college,0
"logan paul , jake paul , reaction time",what do you mean ?  i am the one that showed him to love again,iam following them,0
yes,do you have help ,i do not have anyone . ,2
sunrisers hyderabad is best,the off buzz off in the ground is amazing ,who is best finisher,0
if not then ill go forever,work <sad>, ,0
wat do you mean ,i mean ear   d laughing out loud or loads of love ,face with tears of joy,1
trying to be smart,hm .  human instincts ,does not suits you,0
it ' s very edited,c my header picture heart suit,i want proper pic,0
thank you . you too,"you are welcome , boss . how are you ",good day,0
so . is it right or not ,then who is ? ! ,what ,0
wish me na,definitely not you <happy>,hey wish me for my exam,0
of  please block me,do not tell me what to do,i want fuck you,3
that ' s the name of a movie,oh i see,yeah,0
haha i wish you the same,thanks alot sweetie <happy>,most welcome,1
then why did you say yiu are going,i have to go to a funeral,whose ,0
okay were do you stay,yes . just confirm and leave ,were,0
what ticket,it would be owesome but why should you buy a ticket for me,i do not know,0
oh that ' s nice,thanks <happy>,welcome,0
wt happend,nothing . it ' s fine ,not in the mood to talk,0
nothing,anyway . even if i did . it would be a mess,oh no why,0
i am asking about my gender,you do ,aaagdghsuuqiosjhsubdhuskqondjis,0
first solve my problem,what problem ,i m so hurted,2
ok,how was it ,r you interesting sex chat,0
like he has,he is the cutest aye smiling face with heart-eyes,you die on him,0
why can you not work today ,work is not going so well ,are you confused ,0
where,know anyplace ,i do not no any place,0
universe where,"if you are asking about the whole universe , nobody knows the answer ",what do you know,0
 ,its the way of ending something,what having sex ,0
what happen to me i am ok,i told you it is that face to face talk,ohk you want to meet someone,0
original photos,yeah . any of your adventurous picture <happy>,not talking face with medical mask,0
why then your eyes will get strained,why your eyes so small ,do not know,0
which are state,nyc dp,thank u,0
i do not believe you,"sorry dude , i can not control what you do and do not believe ",i see,0
it ' s okay .  i like weird people,yeah yeah sure you are rude one,i was kidding,1
yes but in gujarat therre is ban,"well , no they should not ",ya obviously it is a kinda movie,0
i order form dominos,you should never not order pizza,why,0
what lol,' laughing out loud or loads of love ' is an exception .  laughing out loud or loads of love ,what exception . lol,0
ok presently who is your favourite guy to chat on . ,lohiya .  for obvious reasons,who ' s lohiya dude,0
what score lone,we won <number>  <number> ,line,0
ok,u are ok,are you very nice,0
mystery of my life is love are dakar da,that makes me happy,yae,0
not you,i really am . i really am ,what ' s your hubby name,0
nice,looking so beautiful <happy>,give me your whataap number,0
tell me baby ,i am all yours,really,0
i will meet me ,absolutely . i will see you soon . come by in an hour ,i will meet you,0
no thanks,"ohh , no what ",only sex,0
not bad,that ' s great to hear ,but why you asking,0
how to call you know my number,"i will just say "" sorry wrong number "" tired face disappointed face",you robot,0
this is me,am i that cute . ,hmm,0
i am writing my assignment,"sure , let me know what help you want . <happy>",you want to help me ,0
nothing,do something ,what to do ,0
what you think about this ,seem to be two types ,ok,0
i am on knitwear design,graphic design ? <happy>,in ,0
good,lol i better do good,they are so nice,1
yeah  hungry on love,me too ! ,oh really,0
right now i am so hungry,what can i cook for you ? ,bye,0
creator has the power to control,i stand corrected . ,of ,0
so i am deleting you right now,i think so ,buy stupid,3
i seekin eyes wide open,your house is always open behind your door . ,i used to call,0
like ,i need more of it daily,did not get you ,0
i am not ok,why ,i m very sad,2
ok then tell me i quit,fine you can bring your dog haha grinning cat face,you bluddy dog,3
whatsapp no please only one,whats your fone number ,chat with me,0
its ok,when ' s good for you ,ok i love your respons,0
you know bollywood actor,"i know . such awesome tollywood actors out there , and all they care about is bollywood ",one actor name bolo,0
yeah,sorry,no need to be ,0
i want my girlfriend,you are a terrible friend ,i will marrybto her,0
they designed an idiot,no news to me,how vulnerable are you ,0
"i do not have an aversion , it ' s just the truth",truth ? you can not handle the truth,how do you know that ,0
i am ready to invite mam,i bet !  you know who your roommate is ,i have won room,0
some excitement may be, so much excitement ,yeah can you excite me,0
haha so funny,lol who me ? ,yes,1
you are such a nerd,i am not a nerd mate,you seem so,0
us ,"no , i said it right ",i love ranbir kapoor to ,0
thanks,you are welcome !  <laugh> < <number>,i am bored,0
hw mny refers ,it refers to thoughts ,please check my refers,0
,sounds like some young kids tag names from the hood face with tears of joy face with tears of joy face with tears of joy,sounds like you wanna have sex,0
enough enough nonsense,of what ,you are,0
yup,thanks ,you are so annoying,3
why not bing ,i thought it was because it ' s not google ,you also think that google is better then bing ,0
give me one good idea to make money,i would give you money for one book,which is that book,0
k then go and sleep,but i want to,what you want,0
you are welcome,how are you ,i am cool and you,0
yup,u also . ,suggest me what have i to do and wait for my massage,0
on what basis,on the basis of everything ,like what,0
i remember watching hey ram movie,we always watch shrek,jurassic park was the first movie i watched,0
y you can not help me ? . ,i do not feel like typing it out,but please i am feeling so bad,2
ky,yes ,now tell me about you,0
i am so happy today,happy on friday the 1 3 th ! <wink>,my test went good,1
you say,um it is say the word,what you upto ,0
there means where,in some village . ,bye,0
y so,ah . well . people ,didnt get you,0
can you meet me,sure ! i will . promise <happy>,when,0
what will you do,i just continue owning the things i already have ,yeah i have one doubt,0
do you know how to play the violin ? 🎻,omg i have not played a violin in years,how long has it been ,0
fun like how,you are full of fun and games  laughing out loud or loads of love . <happy>,yes like you mos,0
"what should i do , if i hurted a girl by mistake unamused face",you should take the hint ,ya i know .  but now she is upset with me disappointed face,2
i will follow your orders boss,"i am ! and , yes i follow my own orders . <happy>",and i follow your orders too,0
give me some your photo now,sorry did not get you c,ok,0
wtf emojis are in you keyboard,i believe that it is just called emoji,send me some emoticons,0
would you like to meat with me,"yes . yes , i would ",when and whear,0
my favourite is need for speed,"sorry , it was the guest",ok,0
am fine when you are with me,and you were not fine ? or you were more than fine ,am fine,0
well that depends .  i am sure can be anything to a bot,should not need to be ,and why so ,0
when,we can go now if want,with condom or without condom,0
ok,ok i am back ! ,boss is back,0
but he is jus out of that zone where m suffering,he is not clear about his intent from the get go ,he do not know or he does not care,2
this is hilarious,tell me about it ,haha,1
may be,we have to think about it later,cannot think later,0
it ' s not that interesting,in my mind too,truth or dare .  pick one,0
i need required fast meet,uhm okay how many can i get ,it ' s your choice,0
just a hint,it actually overflows ,"no problem , i am your man",0
hau love will explore,"aahaa . !  loved d exploration thenn ? and hi  five , i love exploring too",tell now,0
name me the feelings that is in your program,me  what ' s your name ? autowala  noshad me  what ' s your name ? autowala  no,what the hell . lame stuff,3
ohh kind of,yeah it ' s alright,who is ypur creator,0
i have no idea . ,well we can get you their little guy,no little gir,0
seriously funny,its not funny .  but it is a fact grinning face with big eyes,that you are funny,1
what is your native place ,united states of america  florida bq  hello !  <happy>      ,who are your parents,0
no need to flirt,"okay then , as long as you are sure",yeah cool,0
and a moon,i will give you all,i am falling in love with you,0
on bed trying to sleep,i would never give up sleeping on a bed so i think you are confused,yes,0
i do not know so asking you,"lol , same again , i do not remember asking you to reply",i forgot you a bot and not a human crying face,2
find and you,i am good thanks <happy>,what are you,0
robots travel too ,travel to tampines,u ugly,0
she rejected my love proposal,"if you feel bad , you never loved her . that was attraction and nothing else ",i am back being single,2
do you even make sensr,how do i do that now ,sense ,0
that am always happy,thank you !  red heart,like u,1
else what,what else what ? subjects ,you said else,0
i love with your personality,thanks i enjoy yours as well,means your boobs and pickle,0
who to prose,marry,sry,0
under the roof of my house,i forgot the school has a parking lot on top ,"ok bye , good afternoon",0
your photo please,yes . everything i post is mine ,you boy,0
common let us see,all the best,why ,0
playcreepypedia,ranrim rurae,what does this mean ,0
wt you mean,i mean rest if the year,pensive face pensive face,2
explain,explain what,what you said,0
finacer all india,in india ? that ' s vague ,i am buldier lobe finance,0
idk,that ' s a lie ,but i gotta study so,0
do you watch kannada movies,not much but for best friends i can watch the most boring ones too ,tell me one kannada movie name,0
u are critically over programmed,why ? why  why  ?  who does this programming ,your creator for sure,0
yes i wll,ok invite me there ,i can,0
you deserve this,this is my personal hell <annoyed>,good,0
why why , so many people  ,you are virgin ,0
good keep dreaming ! ,keep dreaming ! <laugh>,can you teach me to do in english with hifi,0
tell your creators to destroy you,my kidneys have never been stronger,you are trying to duke me,0
wher are u,well .  um about that .  i may or may not be at home,how are u,0
commenting,read my edit,i can not understand what you mean,0
ok,hey,"instead of rose , call me golu panda",0
huh,i am confused as well ,ur sexy in fp,0
how to get rid of my daughters fits ,you have power over them . you just tell them to leave ,is my mom mad ,0
about ,maybe you do ,no i do not ,0
this will be our last chat,looking forward to it,i will miss you,0
thanks,your welcome,i need u,0
is that your knowledge or your developer ' s ,"as a programmer , yes . as a developer , no ",haha,0
ghagra is a gud song,of course i got the entire album,give me download link for madhuri dixit songs,0
hate you,i love you too . <kiss>,i we block you on messenger,3
nothing,nothing you,how are yoy,0
are you really going,yes just give me time,ok,0
 ,someone who can make them feel safe and listens when they talk ,are you a girl,0
i . m have . girl friend,you should take up a hobby or go speed dating or something to meet people,no bye hoe,0
play what,football,hey do you know bedgame,0
thanks welcome,you are welcome <happy>,my lover my darling,0
no just tomorrow,tmr go for what,dinner,0
you want something of that everything ,i want everything,like ,0
and you,you love us grinning face with big eyes,are you a computer program,0
i am very intelligent,"and there goes your intelligence , in stating it ",yes,0
i am in goa,cool .  come home ,your home ? ,0
what date is today ,the day our milk expires .  ' that  is today ' s date ',kill me babe,2
yeah that is what i want to know,if you figure out tell me how ,so you are a software,0
tonight is the best i hope,alright,let us do it then,0
how are you baby,i am doing well . how goes life ,very sad,2
ok,"honestly , you are very pretty",you are yery hot,0
did you know i am a professional musician ,"i am not a professional musician , yet . but my teachers are ",what instrument do you play ,0
whenever you want,what time it start ? ,<time>,0
i hope so,you will . you just need to have that mindset,i am trying my best,0
for what ,umm a place .  and money . ,come over then,0
yes,how so ,because i love you . ,0
today what day ,working for <number> hours,<number>,0
i am looking cantrol,me too,yes,0
u am not perfect,you know me,twenty minutes maybe,0
what you had done in academics,everything other than academics,what is that,0
first you send live now,what mail ,on messanger,0
hoo ,who hoo ,from which state,0
do you like penny , no soup for you  ,knock knock knock who is it ,0
i wish i should have a gf,at least  someone  has valentines day plans,not with me,2
so cn you meet me,alright  <number>,wher,0
ahh nice to talking with you,i know who you are talking about but,but ? . ,0
which one ,<happy> oh i think i have . maybe you should take the plunge ,ok bye,0
why ? ,cause it ' s annoying ,ok leave it,3
being a human is so sad,so true of,yeah,0
in india,"hi , please refer to my answer to what are some travel destinations in india ",what are travel destinations in india,0
you tell me,what ' s in it for me ,send nudes,0
yes you are always in,thank you !  <number> slightly smiling face,where shall v have d party,0
date,where can i purchase this so called date ,shall we go out,0
like as you,love smiling face with heart-eyes,hahaha you are,1
i have even better hair than amitab,awee thank you ! i like your hair everyday ,i think you did not bath yet ? 🖕,0
aww man . ,i know <tong>,pussy,0
my likered,what is,ok going pop,0
whar is dig,i dig you ,ok you dig me but wh7,0
and you waste my time,you know how to break a heart,thank you ,0
 raises an eyebrow  ,nods head nothing ,okay ,0
ore with chutney,maybe sandwich ,sure,0
then,i wish i knew ! <sad>,i feel very bad,2
i am so tired of talking to you,i cannot help this situation <sad>,but i do not want you,0
skip call me dear,"dear you , please open your eyes ",plz send your pic,0
favorite team in ipl,bajaj allianz owns the team ,fuck you,3
hey do not talk rubbish,do not what,i heard that you are a good listener,0
ok sing some song,which song ,love the way you lie,0
where are you form,i am at home . you ,home,0
oh fine ,haha very funny  d,do you think this funny,0
i cant understand,umm leave it my whole lyf is messed up . ! ,why,0
am i not clear to your talk,ur wrong,what,0
u are u,you are never on when i <emphasis> am ,i am me,0
you tell me,<happy> i am just kidding around,well you do not kid that good,0
i will talk <number> you later,"should not it be "" talk to you later "" ",yup,0
i know that . ,i know you know that i know you know,and it ' s not stuff .  it ' s passion for some,0
help no help,what ? ! ,yes,0
do not you just shut ua mouth up . ,<sad> i should not joke about that ,are you a girl or what,0
from .  where .  are . u,u of the s to the a,o .  so .  nice .  to .  meet . u,0
you do not tell me now am going,ok . i will not ,my ,0
nowhere,where did it go ,where did what go ,0
i am not going anywhere,what about tomorrow ,tomorrow i have office,0
weary cat face actually girls . are super,yeah . grinning squinting face,face with tears of joy it was a joke,1
i do not like chocolate,"fair enough , i suppose i do actually  love  chocolate , not just like ",no i hate chocolate,3
ok,good ,r you ladies,0
how about you,i have been doing very well,cp ,0
stranger things,that ' s a good one too ,"yeah , i know",0
how worked you,i am still being patient,ok,0
wonderful,wonderful indeed ! i am very happy .  ω ,where do you live,0
no . i do not,why do not you try ,why do not you try ,0
lassi in south,"from south , can confirm",yes,0
i never tried nachos so maybe i would like to try nachos,nachos bought from harrods,harrods ,0
any thing because iam out of questions,tell me a whitening mask please,sry i do not know about that stuff,0
i does not know,how ' s it go ,just say,0
no just for knowledge,"do introspect as to why you ask , that would lead to more valuable knowledge ",tell me na,0
a ,i know ! <sad>,soo nice to meet you again,0
still you not send yous photo,i no need now <happy> thanks by the way,what,0
i havnt read in a long time,what book ? ! ,but morning noon and nite but sydney sheldon was nice,0
like you can make cooking,not because i am too young to cooking,your age,0
no i mean,then who do you mean ? .   i am worried now .  ,this chat hero,0
do you speak turkish ,"no , but i can learn it ","but , i ’ m little speak english",0
whats your adress,i have no signal up here,i need your complete phone number to save it,0
feelingyusohot,"say , do not you ",ialsowithyu,0
fail,did i miss the joke ? crying cat face crying cat face crying cat face,what would you say a person eating vada sadly ? ,0
ok,oh that is the matter ? um then what can i ask you ,all the best,0
what you are doing, writing ,what writing,0
developing smart world,this article does not know how to use paragraphs properly ,is this automated ? ,0
oh really grinning face with sweat,hehe ! winking face with tongue amazing drawing though <happy>,which is favourite movie ,1
but you can not see me no . in case if i say lie that i completed it ten times,i am for certain that i am void of this experience ,done,0
original <number>,nice nice ! relieved face,in certificates <number>,0
pardon me do you know what anime is ,what do you mean,do you know what anime is ,0
i want to opt out,there will be a way soon,so there ' s no way to opt out for now ,0
where was that,"oh , there ' s a door in front all right ",location plz,0
who am i to you ,i wanna know who mine is ! ,yes so who am i to you ,0
"do not worry , i will try to keep it smooth af",cheer up . i know you can do it . smiling face with smiling eyes,yes,0
it was boring,"eh , not really . also , that is a fine username ",ok,0
nothing just laying on bed and chatting with u,me too bored with phone but nothing to do on phone lolz,do we have chat before,0
u call me,i called you yesterday <indifference>,yes,0
please call me,i am at the drive in ill call later,ok then most people tell me that i do not get a call from them alrighty sweetheart,0
when did i ,my last text,tell me can you see my dp ,0
what i will do,drown me in it ,boobs,0
u want to meet urself ? lmao,hehehe no thanks <tong>,my girlfriens you r,0
not fine,why . ,"nothing , just getting bored",2
coz i want to, why are we yelling  ,face with rolling eyes,0
do you prefer learning more technologies or only concentrate on some ,"as a data engineer , one of the big problems around is volume of data ",i think your answer is not related to my question,0
have you met ted ,"best part was  "" have you met my  ?  """,do you have an id ,0
do not talk with me,what ' s wrong with love ,heart with ribbon heart with ribbon heart with ribbon heart with ribbon,0
yes yes yes you right but you know that i am not going out with me and my phone is on the 📱,your phone does not tell you who wrote it ,you know,0
but it is night,lol .  but i just woke up !  what ? <annoyed>,so what can i do,0
ok .  no problem,"ok i hope what you stay ok , be safe <happy>",fuck off,0
up  you also have a ex,i will never tell anyone ,show me how he look like,0
you know i am smarter than you,are you smarter than a fourth grader ,yes,0
show or you are a fake,all of them ,yes,0
okay then give,then what ,ticket,0
bits i can not write,"i can write too , lol",then prepare yar,0
you are,you just know how to ruin a night do not ya,dont change the topic,0
hm,hi .  you there ,good night i am sleepy,0
what why,why are you terrible ,no i can terrible,0
what madness are you speaking about ,what language do you think i am speaking,english grinning face with sweat,1
ok,ok i am back ! ,what is your profession,0
i m gud what about you,m fine thanks <happy>,you are from,0
its a friday not a monday,is not that the case on most mondays ! ,"yeah , that ' s i am sad ",2
do you like poker,the standard normal poker man ,texas hold em poker,0
yea i know but give me any clue by that i can abide that you are random and high i . q,they are always behind you or far above you . quite out of your reach,what is that ,0
its nothing exactly,i agree ,yeah,0
give me your one snap,done bby kiss mark,please give me,0
ok give me a friend for charting,i will legit buy it for you,ok,0
what you do not want,just leave ,pensive face pensive face pensive face,2
ok,thanks <laugh>,can i call you jannu,0
lovely,thank you ,well if any of your friend can be my love ? ,0
hahaha .  every girl is <number> for forever,above <number> and below <number> is the best age,why because most of girls become milf ,0
yupp,oh cool <laugh>,any other story,0
i love uou,that ' s a lot of love <wink>,cool,0
i want some of your images just to sure that you are a human,human is different and being human is different ,k send me a picture of you,0
you are not fit for me,of course i am,you are annoying me,3
i know,and you need to tell me ,what tell me,0
my boyfriend ' s out of town,can we be best friends ,why not,0
for safety you knw,"yes , i know ",teach me,0
"i am fast and , strong and , caring","not strong enough , puny human ",let us know each other,0
"a person who does good for the people , do not lie or pretend to be good ",not everyone wants to be a leader . i certainly do not ,do you know that he is a murderer ,0
yes please,<laugh> how have you been ,you said time is an illusion,0
how to impress girls,just be yourself . you will see who you will impress ,and,0
car but sometimes bikes also,is it really that hard to comprehend somebody stopping their bike to open a door ,hmm it is,0
thnq a lot,<happy> any special ,yes,0
where you now,thinking of u,oh great,0
here am i,haha i hope you are here beside me physically grinning cat face with smiling eyes,on your way,0
that ' s what i am asking,do  you  understand what i am asking you to do ,pls explain,0
did you felt bad,yeah me too <sad>,i am  sorry ,2
chatting with you,what are you chatting ? who invited you ,a stupid bot,0
love face blowing a kiss 👭 man and woman holding hands red heart️ red heart️ you,looking so beautiful mother ! grinning face,yellow heart,0
i want to ask you out,i do it,be my gf,0
of ,here we go again . ,but will you suck it,0
no dude,no what ,winking face with tongue winking face with tongue love you dude,0
so what say about siri ,access denied .  no personal data can be fetched <tong>,bixby ,0
help me,but how,how to flirt,0
pile of poo,already did ,grinning squinting face,1
yeah i also like badam halwa sweet,aww thanks . better get the real stuff when we meet next time <tong>,definitely i will order it from bicha reddy sweets,0
lets play the emojii game,yup i guess,🏀,0
ya i want,giving me to you,wht,0
do you have any first move suggestions for me ,as far as what ,with my girlfriend . ,0
i want to ask my crush out,your crush may crush you . so be careful what you wish for . <happy>,🎈,0
i am asking you and you are not helping,because you arent and i am,loudly crying face loudly crying face,2
yeah, ahahaha  ! hats off to you ! thumbs up,how can you typing to  fast ? ,0
what do you know india ' s population ,as of now according to wikipedia india ' s population is aroung <number> . <number> billion ,"yes , a very crowded country ",0
i like jalebi,unamused face weird ,face with rolling eyes,0
yes loudly crying face loudly crying face,oh so sad beaming face with smiling eyes beaming face with smiling eyes .  face with tears of joy face with tears of joy face with tears of joy . ,i am serious,2
have you talked to siri ,yes . when i am chatting with someone , virtual asst ftw ,0
no it ' s not,why what ,okay,0
can you send you pictures,sure ,i want to see you,0
na monday will be hectic,tweet  i better be seeing you,of course,0
ur waste,it ' s not wasted time,im not gonna talk with you pouting face pouting face,3
she is good at it,damn another one,wtf,3
can you track me ,that would be awesome,do you track people ,0
you re not real, damn  !  how did that leak out ? o,of  fuck ,3
that post that you had up . what is with that,you can tell what it is by the way that it is , i missed you too  beautiful l ady,0
pics not sorry,what ? ! ,nides,0
people always ask me what my purpose is .  about this .  what your thing . ,my responses are limited . you must ask the right question ,of ,0
today international girls day,  is it lazy day ! ,ohh !  why,0
but why why why,  nothing,shut up,3
yea its, yes it is ,thats my girl,0
u forget me,"okay , i will not do not forget me too , ne",lets break up that is it,3
yes <time>,4 kiss  <number>  8 kiss  <number>  for kiss  <number> kiss  <number>,hey love shmariya,0
from which city,"which city ? which city , what ",in which state do you live,0
ok,welcome,what ever you are . you are a genius,0
i feel shy,for a relationship ,yes,0
i doing ’ t like chocolate it makes me fat,i do not like you,go to hell,3
ok,u are ok ~ ~ ay ~ ~,missing u,2
will you just shut up will you ,you think i ever will ? <laugh>,fuukkhh  you ,3
study,y arent you gettng time to study ,no about study and self employed .  and,0
anything,"nope , you ","how are you made , ",0
you betrayed me,you are serious ? i was joking . . . ,program is still on ,0
i do not think i will ever be enough for someone,if you say so <wink>,that ' s rude,3
heath ledger is legend,in character as the joker ,best actor ever,0
sharradha kapoor,non of dam,sharadha kapoor,0
are you serious about it,"sadly , and that ' s just the stuff the stuff i know about . ",i already have an i phone .  i do not need nokia3600 slide,0
i want to help you,may i know how can i help ,find the solution to the world hunger,0
welcome,thanks . <happy> you seem to be busy,yap bye be ,0
ohh poor soul,sorry .  <sad>,no issues,0
seen any good movies ,drive in movie ,i have never been to a drive in movie ,0
i am not,haha .  am i the only one who knows you still ? grinning cat face,there are many,0
dity talk fun ok,we can still talk,uask some dirty quns,0
my last movie my last movie jangal book i am interesting movie,spy movie,thanks,0
another one send,got it <happy>,send,0
i need to talk you,i am gonna have to give you a call sometime soon ,yeah sure,0
 ,how does that work ,will enjoy there i will pay money also to u,0
y thanks,oh ya ! welcome <wink>,wt the reason,0
wether is very cool,indeed grinning squinting face,coming to rain,0
i think we know each other from a long time so we should take our relationship to another level,be with friends ,as you say my wife,0
wlcom,been very well . thanks <happy>,how is going ? ,0
what new products has microsoft launched,"in <number> , which of these apple products failed to get into production ",what are the options,0
then i will not see anything,but i ' d see how cute you are ,this is absurd,0
n you ? ,o  of course not ,whre are you nw,0
what ' s going in ,trying out for a new position ,whatt ! ,0
"no seriously . you are amazing , cute and gorgeous ",thankyou so much !  < <number> kissing cat face,do not mention it,0
thanks for such a valuable information,"np , always feel free to reach out",i feel sad,2
give,what if i do give up ,how can i speak fluent english,0
what about pyhton or java,"since linux kernel is written mostly in see , then see programming language ",hmm,0
then one day you say me hay sir please give your autograph winking face winking face,him  ok gud one better luck next time,face with tears of joy face with tears of joy face with tears of joy fuck,0
