PDF,Content
Energy       

Infrastructure
Urban Development

Mobility
sustainable City

Health

Fields of Activities



• One of four cities in Germany and 
the only city in NRW

• We put Gelsenkirchen on the map!

• We get support to 
“..make our city more liveable, more 
productive, and more innovative”

Gelsenkirchen is Fellow City



• There is support from the 
Ministry of Economic 
Affairs

• Model for e-government 
and digital urban 
development

• Other cities are…
Aachen, Paderborn, Soest, 
Wuppertal

Gelsenkirchen is one of five Digital Model 
Cities / Regions in NRW



Projects already
implemented

(selection)



Free (freies) public Wifi in the Connected 
City with GELSEN-NET hotspots



Good data for good decisions, with 
Interactive Mapping and Reporting Tools



IV
.  

   
 a

us
ge

w
äh

lte
 P

ro
je

kt
e

Problem-reporting app „GE-Meldet“



opendata.gelsenkirchen.de



• Online permits for residential on-street 
parking

• Business/Trade register
• Civil status documents
• i-KfZ for individual license plates
• Lost items online
• City Library and offical records
• Public procurement (E-Vergabe)
• Secure communications
• Digital file management (e.g. human 

resources and building regulations)
• Online forms and applications 
…

e-Government



Bürger-ID (citizen identification) via 
Smartphone
• eIDAS – compliant
• Developing with local University of 

Applied Sciences Westfälische 
Hochschule and Start-up Xing-Sys

• Flawless Communication with
regional Servicekonto.NRW

E-Government – Citizen ID



#Open Innovation Lab
ARENA PARK

(in planning)





Moderne Beleuchtungslösungen



Lighting Solutions

• Many kilometres footpaths and 
bike paths, especially used at big 
events in the VELTINS-Arena 

• Over 100 events a year

Parking @ GELSENWASSER-HQ

• Parking
• Lighting
• Security
• Control



Crowd Management

• More than 3 million visitors a year 
in the VELTINS-Arena 

• Guidance  / surveillance of visitors
in the ARENA PARK and the 
VELTINS-Arena

Traffic Control

• Greater area: situational inflow 
and outflow of individual traffic at 
major events

• Intelligent parking guidance and 
management system



Autonomous Driving

• Small busses for disabled people 
• Round circle: stops of public traffic 

and sites
• Connection from bus stop to the 

local rehabilitation clinic

Health Care

• Cooperation with 
medicos.AufSchalke as a unique 
interdisciplinary competence center 
for health (12.000 m²) in the Arena 
Park



Service Plattform
(Proof of Concept)



smart connected Gelsenkirchen 
Smart City Big Data

collecting computing correlating analysing

Big Data

Waste SecurityMobility

Education Living

Lighting
Applications

…

NB-IoT 4G, 4.5G
5G LoRaWanBluetooth

Infrastructur

Inhabitants (aggregated)
buildings, geodata …

municipal data



• Development of an open and multistandard Service Platform (private 
GelsenCloud) as the central BigData service for  Gelsenkirchen

• Implementation of data sources 
and services

• Processing of comprehensive
sensor data

• Interconnection of proprietary
IT solutions

• Ingestion of various data types
• European GDPR: anonymization of collected data

Challenges



Thanks, 
and see you in Gelsenkirchen ;)


	幻灯片编号 1
	Gelsenkirchen in the Rhine-Ruhr area
	Main players of the connected city
	幻灯片编号 4
	Partner (selection)
	Fields of Activities
	Gelsenkirchen is Fellow City
	Gelsenkirchen is one of five Digital Model Cities / Regions in NRW
	幻灯片编号 9
	Free (freies) public Wifi in the Connected City with GELSEN-NET hotspots
	Good data for good decisions, with Interactive Mapping and Reporting Tools�
	Problem-reporting app „GE-Meldet“
	opendata.gelsenkirchen.de
	e-Government
	E-Government – Citizen ID
	幻灯片编号 16
	幻灯片编号 17
	幻灯片编号 18
	幻灯片编号 19
	幻灯片编号 20
	幻灯片编号 21
	幻灯片编号 22
	幻灯片编号 23
	Challenges
	幻灯片编号 25"
[HC2018 Session] Huawei IoT Platform Helps Build Fully Connected Smart Cities pdf.pdf,"PowerPoint Presentation


HUAWEI.COM

Huawei IoT Platform Helps Build Fully 
Connected Smart Cities



2

Industry Digitalization Is an Inevitable Trend, Full 
Connection Is the Foundation for a Smart Society

Telecom

Bank

Insurance

Electric 

power

Weak Strong

Strong

Data acquisition 

and transmission

Government

Public

service

Chemical 

engineering

Agriculture

Oil and 

gas

Education

Hospital

Automobile

manufacturing

Aviation

Consumption

product Heavy

fabrication

High-

speed 

railway

Digital production

Digital services

Traditional production mode

The next decade:
• All industries are being 

digitalized.

• Traditional services will be 

reshaped by digitization.

• The ICT shifts its role from a 

support system to a production 

system. Digital production 

becomes mainstream.

D
a
ta

 a
n

a
ly

s
is

 

a
n

d
 a

p
p

li
c
a
ti

o
n



3

Two Trends of Smart Cities Against the New ICT 
Background

Rapid emergence and wide application of 

basic platform technologies

Evolution from a simple industry 

ecosystem to a complex one

Trend 1: technology Trend 2: industry

GSM/UMTS/LTE/5G

NB-IoT Cloud

Big data and AI

IoT

User

Government

Carrier

Smart City

Content and 

service 

provider

Solution 

provider



4

IoT Is Rapidly Changing the Development of 
Smart Cities

Environment 

monitoring

Public 

safety

Urban 

transportation

Infrastructure

Smart 

metering

Urban 

lighting

Smart 

firefighting

Sanitation 

management

Urban IoT infrastructure

Pipeline, water, and drainage

Garbage management 

and irrigation

Smart parking and bike 

sharing

Street lamp and charging

Electricity, water, and gas meters

Atmosphere, hydrology, 

and environment

Smoke detector and 

fire hydrant

Security supervision and disaster prevention

Source: IoT analytics 2018

The new wireless network access technology has become a new feature of Smart Cities. The 

LPWA technology has been used in more than 70% projects.



5

The IoT Platform Has Become a Necessary ICT 
Infrastructure for Smart Cities

Data sharing between the 

environmental protection bureau and 

the water conservation bureau

Urban IOC

Mayor: urban dashboard

Sewage 

management

River and lake 

governance

...

Unified urban IoT platform

Traditional siloed mode Unified platform mode

Water 

conservation 

bureau

River and lake 

governance

Environmental 

protection 

bureau

Sewage 

management

Enterprise 

sewage 

monitoring:

Heavy metal, 

pH value...

River and lake 

pollution 

monitoring:

Bacteria count, 

toxic metals...

Sanitation 

bureau

Garbage 

clearing

River and lake 

garbage 

monitoring: 

green algae, 

garbage...

Water quality 

data



6

Positioning and Functions of Huawei IoT Platform in 
Smart City Construction

Device management

Application enablement

IoT platform

Gateway/Other 

terminals

NB-IoT access2G/3G/4G and fixed access

Built-in IoT agent

Low-power 

consumption device

Aggregates real-time urban IoT data

Provides the comprehensive urban 

management system with decision-

making support in real time

Simplifies development of IoT 

applications

Incubates and enables the urban IoT 

ecosystem

Provides unified access standards for IoT 

applications and devices

Prevents IoT applications from being 

fragmented



7

In-Depth Network Convergence Ensures Large-Scale 
Commercial Use of NB-IoT Services

Massive device 

access

Quasi-real-time 

bidirectional 

communications

System stability 

during high 

concurrency

Transmission 

encryption featuring 

power saving

Free-of-heartbeat terminal addressing 

mechanism, reducing the application system 

overhead and terminal power consumption, and 

ensuring 100 million reliable connections

Downlink command caching and interwork with 

the EPC to determine whether terminals go 

online and deliver the commands in a timely 

manner, improving service response timeliness

Network-wide traffic control across applications 

and message scheduling based on network 

conditions, ensuring the stable running of the IoT 

application system

Optimized lightweight DTLS encryption mode, 

saving the encrypted battery power by 50% in 

the same security level



8

Codeless Device Model Adaptation Shortens Device 
Integration Duration from Weeks to Minutes

• Complex device-platform 

integration
 Java project creation

 Debug and plug-in loading

• Graphical developer portal
 Wizard device profile customization

 Graphical code stream adaptation and 

development

 Automatic plug-in generation and loading



9

Flexible Dashboard Improves Urban IoT 
Management Efficiency

• Preset management components
 Report customization component
 Device management component
 Group management component
 Rule engine component
 Alarm management component
 Permission management component
 ...

• Vendors can customize the 

components based on the 

template.



10

Aggregating Real-Time Urban IoT Data to Provide Decision-Making 
Support for Comprehensive Urban Management



11

Huawei Provides Comprehensive Support for Building 
the Urban IoT Ecosystem

Smart Home

Connected 

Car

Smart City

Industrial 

Manufacturing

...

Global 

OpenLabs

Developer 

Community

Marketplace

Basic/Industry

Open APIs

Developer Portal

Capability sharing

Partner enablement
Integrated 

development Marketing



12

Building an Urban IoT Service Base and Cooperating with 
Partners to Support Long-Term Operation of Smart Cities

Urban big data 

platform

Smart City IoT platform

Urban cloud

Provides high-quality convenience services 

and improves urban management efficiency.

IoT industry innovation 

and incubation

Innovation 

center

Product 

center

Operation 

center

Huawei public cloud

Supports the innovation and incubation 

of the urban IoT industry.

Urban cloud 

computing center

Applications of the urban IoT 

industry

Smart parking
Smart street 

lamp
Smart water

Smart 

agriculture

Smart 

firefighting
...

Urban IoT visualization and decision-making support center



愿景和使命

把数字世界带入每个人、每个家庭、每个组织，

构建万物互联的智能世界

Bring digital to every person, home and organization 

for a fully connected, intelligent world"
Huawei Smart City Success Stories.pdf,"PowerPoint 演示文稿


Smart City Success Stories



1

Figure

 With the non-registered population accounting for about 90% of the total, urban management was 

difficult. What's worse, insufficient surveillance coverage and difficult video information retrieval 

made it difficult to deal with the high crime rate and solve cases.

 The city lacked unified planning. The map information was inconsistent among multiple planning 

and management departments, causing long project planning periods and land and capital waste.

 Pervasive information silos led to low government approval efficiency. People had to visit multiple 

government agencies and wait for a long time before getting things done.

Challenges

 Data integration: Under the ""5+ architecture"" (device + network + library + graphics + cloud), 

aggregated data resources and built a district-wide unified basic database to create and share 

public information resources in a unified manner.

 Map integration: Built a two-dimensional, three-dimensional, and integrated spatio-temporal 

information sharing platform with 48 topic types and 421 data layers. This platform served as a 

unified portal to provide map services for departments.

 Smart governance: Based on the city characteristic, built ""7+1 sample applications"" covering city 

management, government services, multi-planning-in-one, and public security.

 People welfare: smart education, smart healthcare, wireless city, smart community, etc.

Solution

Smart Longgang: Building a Converged Smart City



2

Smart Longgang: Building a Converged Smart City

 More efficient emergency 

response: unified command and 

dispatch on emergencies, 

enhancing resource coordination 

efficiency by 60%.
 Timely pre-warning of hidden 

risks: aggregates data from 

different sources, identifies 

exceptions in advance.
 Scientific city management:

Big Data analytics and visible live 

data presentation help to conduct 

easier city management.

Intelligent Operation Center
Mastering the urban operations situation 

in real time, realizing scientific city 

governance based on Big Data 

Smart Policing
Ubiquitous public safety system, 

reducing public safety and criminal cases

Improved public safety: The 

number of public safety and criminal 

cases is reduced by about 29% on a 

YOY basis, the biggest drop in 

Shenzhen, due to:
 Space-to-ground seamless 

surveillance: improving prevention 

and control;
 Visualized and converged 

command: improving the 

command efficiency;
 Video cloud (Big Data analytics): 

enhancing massive video search 

efficiency.

Multi-Plan Unification
Develop a seven-department planning and 

collaboration mechanism to improve the 

approval efficiency of investment projects.

 One map: solves multi-plan 

space planning conflicts.
 One platform: implements 

information sharing and 

approval linkage.
 One table: deepens the 

approval reform.
 One set of mechanism: 

provides one blueprint from the 

start to the end.
 Full-process approval: 

enables public participation in 

the full process.

Smart Government
'One window, one ID, and one network,' 

enhancing the public's satisfaction

 One-window government 

services: 600+ services across 

32 agencies are already online
 One-network operation: 

district-level service hall, eight 

neighborhoods, and 111 

communities
 Number of windows reduced 

from 92 to 59
 Waiting duration shortened by 

50%
 Timely handling ratio improved 

by 29%
 In-advance completion ratio 

reached 22%



3

Figure

 Gaoqing, a county of Zibo, Shandong province, suffered from a shortage of talent, technical 

backwardness, small economic volume, low industrial development level, and slow 

economic development.

 In 2017, the government developed the 'Five Gaoqing' strategy layout with Smart Gaoqing

as the focus. The purpose was to seize the opportunity of cloud computing, Big Data, 

Internet of Things, and Smart City construction, implement economic driving force 

transformation, and accelerate the economic and social development.

Project Background

 Built an efficient city operations management system: Used the IoT and Big Data 

technologies to conduct intelligent reconstruction in various areas of the city and implement 

refined city management.

 Built a citizen-centric service system: Provided services such as one-stop e-Government, 

smart healthcare, smart street lamp, smart parking, and wireless Gaoqing to improve public 

service satisfaction.

 Promoted industrial structure optimization and upgrade: Built large-scale, branded, and 

modern agriculture industry and tourism industry based on the IoT.

Business Requirements

Smart Gaoqing: Demonstrating the New Connotation of 'Good 

Governance of a County Is Vital to Stability of a Country'



4

Smart Gaoqing: Demonstrating the New Connotation of 'Good 

Governance of a County Is Vital to Stability of a Country'

Huawei developed the '124N' blueprint with partners for Smart Gaoqing:

 One center: Smart Gaoqing cloud computing center

 Two networks: eLTE wireless trunking private network and IoT private network

 Four platforms: Big Data platform, geographic information cloud platform, 

communication and video convergence platform, and IoT platform

 N applications: The types included governance, livelihood service, and industry 

development.

Solution

 A GIS map integrated thousands of urban and rural components, enabling 

visualized city administration. 

 Traditional Industries were reconstructed using new technologies, creating a 

large number of information position opportunities.

 10 million-level data of 90+ government agencies was integrated, facilitating 

data sharing and improving service efficiency. 

 A Smart Healthcare cloud was constructed to connect and share medical 

resources and provide high-quality medical services to every village.

Customer Benefits

Safe City City management City planningWireless city Healthcare

Big Data platform GIS platform
Video communication 

converged platform
IoT platform

Cloud computing centerUrban wireless private network

""Three factors contribute to the success of Gaoqing Smart City construction: 

first, top-leadership support; second, strong execution teams; third, an 

industry-leading digital partner. Gaoqing has cooperated with Huawei to build 

a Smart City and obtained great support. ""

By Zhao Xinguo, Deputy Director of the Smart Gaoqing Construction Office



5

Weifang: Smart Weifang 3.0 in the IoT Dimension Provides a 

New City Development Mode

 In 2012, Weifang was positioned as one of the first two pilot Smart Cities by the 

Shandong government.

 Despite the homogeneity trend in Smart City construction, Weifang adhered to the 

people-first and innovation-driven principle, and explored a new mode of Smart City 

construction with the IoT as the core and livelihood services as the characteristics.

 Top-level design: one network, one platform, and N applications

 Infrastructure: city-level NB-IoT network and IoT connection management platform for 

unified device management, access management, data aggregation, and application 

enablement

 Service application: 12 types of city IoT applications, including Smart Lighting, Smart 

Parking, Smart City, IoV, Smart Building, Smart River, and Smart Agriculture

 IoT industry alliance: 50+ partners

 The smart street lamp solution reduced the annual electric power by 6.86 million kWh and 

improved the O&M efficiency by 45%.
 The costs of rural drinking water safety monitoring stations were reduced by 30% and 

clean and convenient water was provided for 7 million people.
 An IoT industrial park worth CNY10 billion was expected to be established in three to five 

years.

Background and Requirements

Construction Content

Customer Benefits""Weifang and Huawei are jointly building the world's first city-level NB-

IoT common service platform. In the future, the IoT platform service 

capability will be extended from IaaS to PaaS to enable IoT and ICT 

integration and usher in the Smart Weifang 3.0 era.""

By Zhang Baoqing, Director of Weifang Smart City Construction Office



6

• Repeated construction, low-level construction, data chimney, and other severe problems 

hindered resource creation and sharing.

• Poor government services proposed the requirement for service innovation and better 

service experience.

• There was a strong demand for mining the value of massive data, promoting industry 

transformation and upgrade, and improving city service functions. 

• Established resource sharing standards to implement cross-department, cross-network, 

and cross-region data sharing and exchange.

• Built a city-wide unified information resource platform to support data value mining and 

facilitate precise decision-making.

• Strengthened the construction of 'Internet+ Government services' and developed the city-

wide unified responsibility and authority list to facilitate channel interaction.

• Performed coordinated design and step-by-step implementation to make steady progress 

in the Xueliang (Shiny), smart education, and smart city management projects.

• The government services were successfully upgraded into smart ones and a new 

government service model was formed, unifying the affair handling table, department, 

window, network, and registration number. 

• The city (government) service became quantified and visualized, providing a basis for 

performance management and decision-making analysis. 

• Yihang won the 2017 China Smart City Demonstration City Award.

Challenges

Solution

Customer Benefits""The solution developed by Huawei's expert team for Yiyang is 
systematic and operable, demonstrating Huawei's strengths and social 

responsibility as a world-class enterprise. ""

By Qu Hai, Secretary of Yiyang Municipal Committee, Chairman of the 

Standing Committee of Yiyang Municipal People's Congress of China

Smart Brain + Government Service, Helping Yiyang Build a 

New Smart City



7

• The lack of unified top-level data resource planning caused inconsistent standards and 

hindered system interconnection. 

• Some bureaus regarded data as their private assets. They required authorization for 

cross-industry and cross-department information sharing or even refused to share 

information, making it difficult to share data across systems.

• Adopted a top-level Big Data design and established standard resource sharing 

systems.

• Built information resource sharing subsystems to exchange data across bureaus and 

offices.

• Built basic libraries to enable information sharing and reduce bureaus' cost of obtaining 

data resources.

• Built a comprehensive Smart City management platform, a smart government service 

platform, and a smart security control platform.

• A shared, open, and converged government Big Data center enabled city-wide basic 

data interconnection and interworking.

• Through system innovation and city resource integration, city management became 

more precise, transparent, and efficient.

• The 'One law enforcement team for one domain' strategy was implemented in seven 

fields, such as market supervision, transportation, urban and rural construction, land 

planning, agricultural, forestry, and water conservancy, safe production, and health 

inspection.

• Transactions could be handled through the single-window and single-ID handling 

process, improving the public service efficiency.

Challenges

Solution

Customer Benefits

Helping Jiangyin Build a Government Big Data Center to Improve 

City Management and Public Service Efficiency



8

 In recent years, Jiaxing has made remarkable achievements in Smart City 

construction. In 2015, Jiaxing received approval from Cyberspace Administration 

of China to build the only 'New Smart City Benchmark' among China's third-tier 

cities.
 The overall goal was to integrate the most comprehensive data and build the 

strongest brain to improve the Smart City in multiple dimensions.

 Smart Jiaxing top-level design: '1245' construction plan
 Built a unified city Big Data center, integrated data resources across the city, and 

established six basic databases and professional databases for key fields.
 Built a comprehensive city operation management center to display the panorama 

of city operations and provide multiple functions such as event management, 

event handling, theme applications, and special applications.

 The city accessed 40.11 million data records, integrated 2.94 million data records, 

and generated 19 types of data services.
 Display, analyze, manage, judge, and predict operation trends in key areas such 

as city governance, public services, infrastructure, industry economy, and 

ecological environment. Provide related decision-making and service support.
 Smart applications, such as smart transportation, smart tourism, health Big Data, 

and all-in-one citizen card, are put into operation.

Background and Requirements

Solution

Customer Benefits
""Jiaxing Comprehensive City Operation Management Center 

and City Big Data Center were put into trial run this October. 

Our goal is to integrate the most comprehensive data and 

build the strongest brain to improve the Smart City in 

multiple dimensions. We hope to gradually enable ubiquitous 

public services, transparent and efficient online government, 

precise city management, as well as independent and 

controllable network systems.""

By Yu Huiyou, Director of Jiaxing Smart Office

Jiaxing: New Smart City, Integrating the Most Comprehensive 

Data and Building the Strongest Brain



9

 In 2017, Xi'an Big Data Industry Development Implementation Solution (2017-

2021) was released to deploy the Big Data industry and promote the overall 

Smart City construction.

 Aimed to integrate various data of the public service system and build Xi'an City

Operation Big Data Center into an industry benchmark.

 One center and three platforms: The city operation management basic data 

center, city operation indicator platform, warning and emergency handling 

platform, and information sharing and push platform drive city smart operations 

with data.

 Implemented thematic analysis on traffic conditions, all-in-one card, bus 

operations, and parking fee data to improve transportation efficiency.

 Integrated public data of underground pipelines, transportation, and water, heat, 

and gas supply to build safe production monitoring, warning, and prevention 

models.

 Big Data and cloud computing technologies are used to implement intelligent 

services regarding people's livelihood, environmental protection, public safety, city 

services, and industrial and commercial activities and innovate the city 

management mechanism.

 The Big Data technology promotes innovation and entrepreneurship and improves 

Xi'an's competitiveness. 

Business Objectives

Solution

Customer Benefits

Based on the data of the public service system, Xi'an 

integrates the data of gas supply, water supply, heat supply, 

bus, leasing, land reserve, transportation gas, and parking 

management to promote operation of the Big Data center in 

Xi'an city as a highlight project in the industry. Xi'an builds a 

center and three platforms, uses data to drive smart city 

operation, and improves city operation management 

efficiency and quality.

Big Data in Xi'an: Driving Smart City Operations with Data



10

Yanbu, Saudi Arabia: a Smart City near the Red Sea, Promoting 

Industry Upgrade and National Transformation

 Relying on oil exports, Saudi Arabia's economy faced huge challenges as oil prices 

plunged in the world. In 2015, Saudi Arabia released Vision 2030 to initiate industry 

upgrade and national transformation.

 Yanbu Industrial City was the only Smart City designated by Saudi Arabia's national 

transformation plan.

 Smart Yanbu planned to provide smart facilities for residents and tourists to solve the 

urban governance issues brought by rapid social development, improve the investment 

environment, and promote the upgrade of diverse industries.

 Infrastructure: broadband networks covering the whole city and a city data center

 Eight smart applications: smart street lamp, heavy vehicle management, smart parking, 

smart manhole cover, smart waste management, smart energy efficiency monitoring, 

crowd density analysis, and comprehensive performance assessment

 The overall cost of the public lighting system was reduced by more than 30%, the 

garbage clearing efficiency was improved by 50%, the road maintenance cost was 

reduced by 20%, and the utilization of public parking spaces was increased by 30%.

 The city public services were greatly improved, and the satisfaction rate of residents 

reached 90%.

 Since the construction of Smart City in 2014, the growth rate of foreign investment has 

increased from 2.5% to 16%, and the city has attracted 22.5% more professionals.

Background and Requirements

Construction Content

Customer Benefits
""A large amount of data generated by each application 

system presents a new RCY, helping us improve city 

governance in a target manner. I think that the Smart City is 

just a beginning. RCY will further collaborate with Huawei to 

provide citizens with better public services and leverage new 

technologies to make our cities more.""

By Ayman, CIO of Royal Committee for Yanbu



11

案例配图

 Dubai Silicon Oasis spans 7.2 square kilometers, with estimated population of 

162,400.

 DSOA hosts 1920 companies in 2015, of which 71% are IT companies.

 Total investments for the Silicon Park Smart City project amounted to USD 1 

billion in 2015, with an additional USD 0.35 billion by 2018.

Background

DSOA act as the Center of Excellence for test pilot projects and develop upscale 

models:

 To develop an agile and “replicable” Dubai approach for Smart City development.

 To be a hub where new technologies, ideas, and cultures converge.

 To create a sustainable smart habitat ecosystem.

Objectives

Smart DSOA, a Shining Pearl in Desert

Dubai Silicon Oasis will play a fundamental role in the country’s overall economic development and assist in the development and training of the local 

talent for advanced technology manufacturing.

- H.H. Sheikh Ahmed bin Saeed Al Maktoum

Chairman, Dubai Silicon Oasis Authority



12

Smart DSOA, a Shining Pearl in Desert

 Smart Street: the solution transforms the street pole into a multipurpose 
asset. The inbuilt sensors enable automatic control of streetlights and 
lower energy consumption. The pole incorporates a number of advanced 
features such as digital signage, ourdoor WiFi, CCTV, and environmental 
monitoring.

 Sewage Water Treatment: DSO generates more than 3 billion gallons of 
treated water over the current sewage treatment plant

 Smart Waste Management: DSOA has installed smart waste bins that work 
through the IoT technology and alert the operations and services team 
when the bins are filled and need to be emptied, with an automatically 
optimized route design.

Solutions

 Smart streetlights reduced maintenance costs by 42% and energy costs by 
35%.

 Sewage water treatment reduced operational costs by 70%.
 Smart waste bins lowered operating costs by 65%.

Benefits



13

Smart Zambia: Promoting National Informatization with 

Innovative Technologies

 With scattered IT resources and slow data update, different agencies used conflicting 

data and it was hard to invoke old data.

 Data security risks existed. The IT system was powered off from time to time, causing 

data loss.

 The ICT infrastructure and talent reserve failed to support digital transformation.

 National cloud data center: Provided e-Government Cloud, enterprise cloud hosting, and 

other services. Used 'three data centers in two cities' solution to ensure service and data 

continuity and security.

 Videoconferencing system: Installed telepresence terminals in 26 ministries, changing 

the traditional conference mode.

 National broadband network: 9050 km optical cables, connecting 10 provinces and 15 

key cities in Zambia

 ICT talent development center: Provided Start Instructor training services.

 Intensive e-Government deployment greatly improves government office efficiency and 

ensures data security of key agencies.

 The telepresence system greatly reduces the cost of government conferences and 

makes communication more efficient and simple.

 The nationwide broadband network supports the promotion of smart government 

applications by providing infrastructure.

 ICT talent development reduces the operation cost of ICT enterprises and improves the 

employment rate and national comprehensive strength.

Challenges

Solution

Customer Benefits
""From Smart Zambia to GSM network expansion and from 

