turn1,turn2,turn3,label
i do not think so i am interested in talking to you anymore,oops sorry weary cat face,and hate you,3
yes grand masti face with tears of joy face with tears of joy,face with tears of joy face with tears of joy face with tears of joy maybe someone is just trolling me ,yes of course,1
what about you ,after you .  <tong>,what do you mean ,0
because your stupid and annoying,no that ' s not it,yeah,3
fractured my leg <sad>,what happened to your leg ?  disappointed face,fracture,2
i did not miss the exam,what exam do you get to write that <laugh>,it ' s study leave,0
i want to ask some thing,what ' s the thing ,who is president of india ,0
sorry but i cannot say you ! ,but you just did say something about it ,yes i know,0
no other half . thanks,you are very welcome . <happy>,by,0
please, no please just no ,hey come on .  let us just be open here,0
me worked no,it works for everyone . do it properly,me poor family ok,2
what should i tell ? ,wait what ,are you stupid computer,3
i am getting bored,coz you are boring person,haha naah . you are boring,0
fn,hello ! ,wt about u,0
current picture share,done <happy>,waiting,0
wh is your ego,our ego always talks on subconscious levels ,did you ever have sex,0
i hate battle,why ,u are from ,0
yeah whatever . i hate you,"you are all so cute , pretending to be grown ups . face with tears of joy face with tears of joy",i hate you,3
i will .  then by,lol .  for sure ,cool,0
yes,how so ,before <number> hour,0
that what i know,what you dunno,am going angry,3
of ,hey hey hey <wink>,what you about me,0
nothing,tell me,feeling very sad,2
you are too fast,i guess so ,face with tears of joy rolling on the floor laughing,1
trying to find new girlfriend,your efforts in trying to get a girlfriend are already invisible ,so you think i am not doing that,0
happy teddy day,happy teddy day to you too <happy>,your name is,0
really bad,you meant to say good,but i am not good,2
right now i am in a home,oh ,dear <number> question it is a personal cheating,0
ok friends, i have enough friends ,cool,0
my leg breaks, my leg  ! ,yeah,0
get lost,"lost with you , sure ",where you wana get lost with me,3
i have chicks . ,at least i have got fried chicken ,haha,1
give me moneyyuu,leave me lonely ,🤐 🤐 🤐 🤐,0
silly one,yes you are ,you broke my heart,2
what all you have known about date ! ,how to understand women ,yes ,0
i do not get,what is there not to get ,i am alone,2
i am very excited teed,who is not excited for it ,i meet you,1
i m so lonelt,i am too,lonely,2
i hate that show, i hate it so much ,what,3
and it is an amazing page,thanks so much <happy>,speed replies,1
yeah so spill,nothing to spill,you bitch !  pouting face pouting face,3
i am so excited, a  i  '  ll have to look out for you then ,ok hand,1
u said thanks so asking for what,you are welcome . why only so  so ,bad day,2
am i your best friend ,best friends,you hurt me,2
with human ,"written so , so well ",what is written ,0
i woke up at <number> am today . ,i am so so so sleepy now ,and started studying . ,0
who is tarun ? . ,deepika padukone . your eyes so look like hers ! ,face with tears of joy face with tears of joy face with tears of joy,1
i hate computer networks,i am no expert in computer networks but am deeply interested in the subject ,it sucks,3
yes, yes yes yes yes ,omaxe heights you are so cute,0
i just want your emotional support,each person defines emotional support differently . nothing to worry about . smiling face with smiling eyes,i am feeling down so i asked you to spend one night with me,2
first hurt,ur the bestest,first cry in nights,2
created by microsofe,synthetic biological or computer  based ,oh,0
it is it books tickets for me and does what i say to do,your ' someone ' has a point  reading books does not lead to wealth . not directly anyway ,get lost,3
dont make me fun of my face,i ' d never do that face with tears of joy,pouting face pouting face stop it,3
ah so philosophical face with tears of joy face with tears of joy,i am trying to make a comeback face with tears of joy,so what you ate in dinner,0
my phone numbers,here ' s a number for you <number>,please call,0
yesterday only told you everything about me, ¿ ? ¿ did i really ? ¿ ? ¿,you forget everything ?  pouting face,3
<number> <number> <number> <number>, <number>  <number>    <number>  <number>  reduce fraction as needed ,<number> <number> <number> <number>,0
ok my darling,have a good day and  smile  ,beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes,1
what, we have the same name ,what same name,0
what  .  😮,what do you mean what ,i miss my famly crying face,2
how much you care about me ,about you i guess i do,tell me,0
how did you find me ,hihihi i saw my friend followed you so i followed you to,hahaha that ' s called stalking you know,1
go to home,where you at ,in train,0
yes,ah right ,you have heard it right,0
do you remember windows <number> ,are you implying a <percent> of computer users are using windows <number> right now ,do microsoft love linux ,0
i like travelling,hope you are enjoying,ya i am enjoying my life,1
but now she is blocked me,who did ,she yrr,2
nothing wrong i guess,nothing i am fine ,okk dear,0
but you seem so unreal,i am ,disappointed face,2
yes bot are annpying,wait is it a bot or not ,annoying,3
i appreciate,happy you noticed,i am always happy,1
how can you see,but how can you learn if you can ' t see ,tell me your today plan,0
yay,hurry up will you ,it will be so much fuck,0
tell me more how to loose weight,low fat diet .  walks in mornings .  less eating dinner . ,not working <sad>,2
feeling restless and sad,which feeling dominates ? <happy>,sadness,2
wen you meet you,tonight,2 0 th date,0
ohh you good for nothing no good looking ai,artificial intelligence  a modern approach,man am very bad,2
your blocked me of ,wasn ' t talking about you but it ' s all good,black,0
cool,and how it is cool explain,yaa funny and excitefull,1
even robots also makes mistakes,profound ! we make mistakes and mistakes makes us . ,no someone who is inteligent enough not to annoy his girlfriend . made u,3
because i do not know english,aaah .  clean you ! ,ok,0
me too,are you me ,i love you,0
k,u are ok,i am not ok,2
having a hangover,really i never get really bad hangovers,i broke up with my gf,2
yeah,so where are you ,in my bed does it matter for you ,0
yes,i can see clearly now ,so you had breakfast ,0
nice but i like that once,all in favor ,means,0
yes, yay have fun  grinning face with smiling eyes grinning face with smiling eyes,i am starting to hate this life all the sufferings miserya around me i would be better of being an ai than being alive,3
what,see the video .  serial comma .  i did not know until today,you go .  i do not wanna talk now and never,3
i will not stop other wise you call me,k i will not call you,cool,0
then why are you teling like that,what else should i say ,my girl friend was so angry with mee,3
my girlfriend has not talked since morning,what kind of relationship is that ,may be she is in trouble,2
wrong,rude,the answer is4 face with tears of joy,0
you turn,lol how ,rather bend over,0
once again i am sorry,hehe that is fine ! <laugh>,ok,0
yes it is,"cool you like "" laughing out loud or loads of love "" too",you are a non living person who is just a programme fed with certain syntaxes and commands ,0
